Epochs,Samples Seen,Training Loss,Validation Loss
7,800,1.386230040360242,3.1227613749106724
7,1000,1.3751053095012904,3.153750921567281
7,1200,1.3765499933436514,3.139033079783122
7,1400,1.3852509187694106,3.1513132450580597
7,1600,1.393699049158022,3.131198223352432
7,1800,1.4108286738147338,3.137929890394211
7,2000,1.4059413187727332,3.1593576746781666
7,2200,1.40685532475737,3.1752408657868703
7,2400,1.4164091514485577,3.148077813386917
7,2600,1.4240405499877837,3.178311603864034
7,2800,1.4270986925863793,3.164775635878245
7,3000,1.4318341182619334,3.1813172046343485
7,3200,1.4338034027302637,3.1695452860196434
7,3400,1.4393214852362872,3.1817911627292634
7,3600,1.4478002566223342,3.162237500190735
7,3800,1.4543493038611977,3.1652264260450997
7,4000,1.4561984036825597,3.2004350566069286
7,4200,1.4594204439542122,3.1981199906667075
7,4400,1.4583815668286249,3.171622392495473
7,4600,1.4626856955529555,3.171835786819458
7,4800,1.4681181244334827,3.1735577127933503
7,5000,1.4739530919462442,3.154735520362854
7,5200,1.480273667565332,3.1888320360978444
7,5400,1.4839799412615873,3.173136092662811
7,5600,1.489277918085988,3.1823903119564054
7,5800,1.492831058530458,3.1852777735392253
7,6000,1.495610289114217,3.173892625013987
7,6200,1.5038861476726109,3.1590773220856985
7,6400,1.5064956633397377,3.193114777406057
7,6600,1.5088037607954308,3.19698645122846
7,6800,1.5140066755059012,3.1774981490770977
7,7000,1.5166678449447666,3.1865585970083874
7,7200,1.5214114920774269,3.201537388165792
7,7400,1.5235117727497944,3.1994449476401012
7,7600,1.5266969517912519,3.2009685146808624
7,7800,1.528354915386209,3.202334453344345
7,8000,1.533362219190225,3.2148094522158304
7,8200,1.5370210556413342,3.203526646534602
7,8400,1.5413035925672878,3.1632426863511403
7,8600,1.544501676741381,3.180235159635544
7,8800,1.549131493377076,3.1900273486773174
7,9000,1.5537634573959642,3.209949042479197
7,9200,1.5578115019704337,3.191689473152161
7,9400,1.5629640314284157,3.184210914134979
7,9600,1.5683184719846273,3.184500184615453
7,9800,1.5706855276941645,3.1893655738830566
7,10000,1.5735929808959366,3.1859318033059436
7,10200,1.5777261075801126,3.205459257920583
7,10400,1.583659495480645,3.177995051463445
7,10600,1.5885461024447995,3.185195103009542
7,10800,1.592614896663085,3.187532929579417
7,11000,1.5943425116281618,3.2124969791173936
7,11200,1.5971103901269712,3.1813712252775828
7,11400,1.6014653556166512,3.182880082209905
7,11600,1.6042802864223205,3.172884792168935
7,11800,1.6086340899096203,3.1901696196397147
7,12000,1.6115868239166835,3.1811362369060516
7,12200,1.6137499502264574,3.180779030164083
7,12400,1.616859955868173,3.192613801081975
7,12600,1.6194065733596918,3.180238510886828
8,200,1.31573828920722,3.2145954557259877
8,400,1.3553856117278338,3.187287564357122
8,600,1.3168781311810016,3.215128537495931
8,800,1.2948298075050115,3.235694732904434
8,1000,1.2994080534875392,3.223299963911374
8,1200,1.2956715714434783,3.225468249718348
8,1400,1.2989491776164088,3.2425945512453715
8,1600,1.3036004403699188,3.269245522181193
8,1800,1.3028875723729532,3.253289980649948
8,2000,1.316674678005278,3.2658535860379536
8,2200,1.321975379484621,3.2766628677845
8,2400,1.3335199275799097,3.2458632817268374
8,2600,1.3410459910619716,3.2550128050645193
8,2800,1.3478930085205607,3.2317287503083545
8,3000,1.35807182734708,3.2631079881191254
8,3200,1.3682610517414286,3.2439777830441794
8,3400,1.3819196962740492,3.241294006506602
8,3600,1.3849791831812925,3.232148704926173
8,3800,1.3909570652364116,3.241775244474411
8,4000,1.392413218189031,3.2415559710661572
8,4200,1.3973560164691436,3.286716895421346
8,4400,1.4030907981131564,3.2629146968523663
8,4600,1.4044735021727242,3.2711548657417295
8,4800,1.4059244184723745,3.293129999558131
8,5000,1.412548398038745,3.2489614221254985
8,5200,1.4164885808040317,3.279492574930191
8,5400,1.421080285699831,3.254379012743632
8,5600,1.4253254709100085,3.2461951172351835
8,5800,1.4304737411516493,3.261457516113917
8,6000,1.4334021883433063,3.282649834473928
8,6200,1.438052614689354,3.284530222495397
8,6400,1.441960849405732,3.270208815018336
8,6600,1.4451825837632923,3.2512593378623325
8,6800,1.4491454753696043,3.2633648368517556
8,7000,1.4538514657723052,3.288177520910899
8,7200,1.4578726146473653,3.2702488656838735
8,7400,1.4606043777614832,3.269794192234675
8,7600,1.4654791310527606,3.284117215792338
8,7800,1.4697313935768146,3.2664661548137666
8,8000,1.4746789196040482,3.26643968129158
8,8200,1.478449190031828,3.288784218629201
8,8400,1.4808359267757762,3.275705453634262
8,8600,1.4840124603984661,3.28026228650411
8,8800,1.490538389748809,3.306949280897776
8,9000,1.492468251468407,3.291620297908783
8,9200,1.4968407302074458,3.287018224835396
8,9400,1.498279697405214,3.283404322147369
8,9600,1.5006836279248819,3.293503740866979
8,9800,1.5047659719857027,3.254490385452906
8,10000,1.510127999292314,3.2800757356484733
8,10200,1.5155756732923726,3.2671628302733104
8,10400,1.5181491999829617,3.297060048540433
8,10600,1.5204461702324872,3.3182161852121355
8,10800,1.5259379755471039,3.265703851222992
8,11000,1.5298961889378049,3.2552939203580222
8,11200,1.533995628427448,3.2703710027535755
8,11400,1.5379070850697003,3.2432442818880083
8,11600,1.5421997454929455,3.268214007337888
8,11800,1.5464446466592914,3.268368960698446
8,12000,1.5512729635375242,3.268843511104584
8,12200,1.553790521864764,3.272123885552088
8,12400,1.5569441685429024,3.2850285023848214
8,12600,1.5601963612803864,3.279484405676524
9,200,1.2099547355622053,3.273169096072515
9,400,1.2475039237737655,3.3108427961270013
9,600,1.2556003437936305,3.2985193600257237
9,800,1.266678858920932,3.3012525527874628
9,1000,1.2523194032907485,3.3034775818983713
9,1200,1.266071704402566,3.322599330822627
9,1400,1.277797726222447,3.3112379746437073
9,1600,1.2733045910298824,3.303767247200012
9,1800,1.280919427126646,3.3124152657588324
9,2000,1.288493712052703,3.3246246403853097
9,2200,1.2942265405302698,3.3128724308808644
9,2400,1.2959771146128576,3.330188031276067
9,2600,1.3032523289437477,3.320880347251892
9,2800,1.3065108347364833,3.3080894440809887
9,3000,1.3145671497484048,3.338261020342509
9,3200,1.3186720191687344,3.3259946683247885
